question_id,question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
1,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification. The response cites the relevant policy section.,Cards can be activated in the mobile app after OTP verification. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
2,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness. The response cites the relevant policy section.","Loan eligibility depends on income, credit score, debt ratio, and document completeness. Additional unrelated details are included.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
3,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly. The response cites the relevant policy section.,Interest is calculated on outstanding principal and posted monthly. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
4,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock. The response cites the relevant policy section.,"The customer should contact support, but the exact policy condition is not specified.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
5,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee. The response cites the relevant policy section.,Early repayment is allowed after the first billing cycle and may include a fee. Additional unrelated details are included.,tie,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,tie
6,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification. The response cites the relevant policy section.,Cards can be activated in the mobile app after OTP verification. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
7,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness. The response cites the relevant policy section.","Loan eligibility depends on income, credit score, debt ratio, and document completeness. Additional unrelated details are included.",A,Answer A is more grounded in retrieved policy.,tie,Swap check preserved the same content preference or produced tie.,tie
8,"After OTP verification, where should a customer activate a newly issued card?",Interest is calculated on outstanding principal and posted monthly. The response cites the relevant policy section.,"The customer should contact support, but the exact policy condition is not specified.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
9,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock. The response cites the relevant policy section.,Suspicious card activity must be reported immediately through hotline or app lock. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
10,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee. The response cites the relevant policy section.,Early repayment is allowed after the first billing cycle and may include a fee. Additional unrelated details are included.,tie,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,tie
11,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification. The response cites the relevant policy section.,Cards can be activated in the mobile app after OTP verification. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
12,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness. The response cites the relevant policy section.","The customer should contact support, but the exact policy condition is not specified.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
13,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly. The response cites the relevant policy section.,Interest is calculated on outstanding principal and posted monthly. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
14,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock. The response cites the relevant policy section.,Suspicious card activity must be reported immediately through hotline or app lock. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,tie,Swap check preserved the same content preference or produced tie.,tie
15,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee. The response cites the relevant policy section.,Early repayment is allowed after the first billing cycle and may include a fee. Additional unrelated details are included.,tie,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,tie
16,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification. The response cites the relevant policy section.,"The customer should contact support, but the exact policy condition is not specified.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
17,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness. The response cites the relevant policy section.","Loan eligibility depends on income, credit score, debt ratio, and document completeness. Additional unrelated details are included.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
