question_id,question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
1,What does the policy say about card activation?,"Based on the retrieved policy, Cards can be activated in the mobile app after OTP verification.",Policy chunk: Cards can be activated in the mobile app after OTP verification.,Cards can be activated in the mobile app after OTP verification.,simple,0.865,0.88,0.79,0.808,0.836
2,What does the policy say about loan eligibility?,"Based on the retrieved policy, Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,0.88,0.892,0.81,0.82,0.851
3,What does the policy say about interest calculation?,"Based on the retrieved policy, Interest is calculated on outstanding principal and posted monthly.",Policy chunk: Interest is calculated on outstanding principal and posted monthly.,Interest is calculated on outstanding principal and posted monthly.,simple,0.895,0.904,0.77,0.832,0.85
4,What does the policy say about fraud reporting?,"Based on the retrieved policy, Suspicious card activity must be reported immediately through hotline or app lock.",Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,Suspicious card activity must be reported immediately through hotline or app lock.,simple,0.91,0.868,0.79,0.844,0.853
5,What does the policy say about early repayment?,"Based on the retrieved policy, Early repayment is allowed after the first billing cycle and may include a fee.",Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,Early repayment is allowed after the first billing cycle and may include a fee.,simple,0.85,0.88,0.81,0.856,0.849
6,What does the policy say about card activation?,"Based on the retrieved policy, Cards can be activated in the mobile app after OTP verification.",Policy chunk: Cards can be activated in the mobile app after OTP verification.,Cards can be activated in the mobile app after OTP verification.,simple,0.865,0.892,0.77,0.796,0.831
7,What does the policy say about loan eligibility?,"Based on the retrieved policy, Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,0.88,0.904,0.79,0.808,0.846
8,"After OTP verification, where should a customer activate a newly issued card?","Based on the retrieved policy, Interest is calculated on outstanding principal and posted monthly.",Policy chunk: Interest is calculated on outstanding principal and posted monthly.,Interest is calculated on outstanding principal and posted monthly.,simple,0.895,0.868,0.81,0.82,0.848
9,What does the policy say about fraud reporting?,"Based on the retrieved policy, Suspicious card activity must be reported immediately through hotline or app lock.",Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,Suspicious card activity must be reported immediately through hotline or app lock.,simple,0.91,0.88,0.77,0.832,0.848
10,What does the policy say about early repayment?,"Based on the retrieved policy, Early repayment is allowed after the first billing cycle and may include a fee.",Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,Early repayment is allowed after the first billing cycle and may include a fee.,simple,0.85,0.892,0.79,0.844,0.844
