question_id,question,ground_truth,contexts,evolution_type,review_status
1,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification.,Policy chunk: Cards can be activated in the mobile app after OTP verification.,simple,accepted
2,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,accepted
3,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly.,Policy chunk: Interest is calculated on outstanding principal and posted monthly.,simple,accepted
4,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock.,Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,simple,accepted
5,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee.,Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,simple,accepted
6,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification.,Policy chunk: Cards can be activated in the mobile app after OTP verification.,simple,accepted
7,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,accepted
8,"After OTP verification, where should a customer activate a newly issued card?",Interest is calculated on outstanding principal and posted monthly.,Policy chunk: Interest is calculated on outstanding principal and posted monthly.,simple,edited
9,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock.,Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,simple,accepted
10,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee.,Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,simple,accepted
11,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification.,Policy chunk: Cards can be activated in the mobile app after OTP verification.,simple,accepted
12,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,accepted
13,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly.,Policy chunk: Interest is calculated on outstanding principal and posted monthly.,simple,accepted
14,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock.,Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,simple,accepted
15,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee.,Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,simple,accepted
16,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification.,Policy chunk: Cards can be activated in the mobile app after OTP verification.,simple,accepted
17,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,accepted
18,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly.,Policy chunk: Interest is calculated on outstanding principal and posted monthly.,simple,accepted
19,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock.,Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,simple,accepted
20,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee.,Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,simple,accepted
21,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification.,Policy chunk: Cards can be activated in the mobile app after OTP verification.,simple,accepted
22,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,accepted
23,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly.,Policy chunk: Interest is calculated on outstanding principal and posted monthly.,simple,accepted
24,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock.,Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,simple,accepted
25,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee.,Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,simple,accepted
26,"Given income and debt checks, why might application 1 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
27,"Given income and debt checks, why might application 2 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
28,"Given income and debt checks, why might application 3 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
29,"Given income and debt checks, why might application 4 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
30,"Given income and debt checks, why might application 5 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
31,"Given income and debt checks, why might application 6 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
32,"Given income and debt checks, why might application 7 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
33,"Given income and debt checks, why might application 8 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
34,"Given income and debt checks, why might application 9 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
35,"Given income and debt checks, why might application 10 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
36,"Given income and debt checks, why might application 11 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
37,"Given income and debt checks, why might application 12 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
38,"Given income and debt checks, why might application 13 be rejected?",The application can be rejected when debt ratio is high or required documents are missing.,Loan policy chunk: debt ratio and document completeness are required approval conditions.,reasoning,accepted
39,How should support combine card safety and customer notification steps for incident 1?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
40,How should support combine card safety and customer notification steps for incident 2?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
41,How should support combine card safety and customer notification steps for incident 3?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
42,How should support combine card safety and customer notification steps for incident 4?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
43,How should support combine card safety and customer notification steps for incident 5?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
44,How should support combine card safety and customer notification steps for incident 6?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
45,How should support combine card safety and customer notification steps for incident 7?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
46,How should support combine card safety and customer notification steps for incident 8?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
47,How should support combine card safety and customer notification steps for incident 9?,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,multi_context,accepted
